tortuosity,gr60_conj,std_conj,gr60_clust,std_clust,gr60_repsupp,std_repsupp
0.572957795131,0.694848293593,0.00786718890874,0.0236012842527,0.0164111043698,0.00536798060744,0.000383290525451
2.02738912123,0.695906282829,0.00267069774888,0.0143418218482,0.00778128809295,0.0050229480036,0.000293780228769
3.48182044733,0.694584595017,0.00200171605008,0.0128181800322,0.00672586753242,0.00334361376778,0.000250235556107
4.93625177343,0.695781119846,0.00173384501126,0.0127737776256,0.00448737338951,0.00161474912281,0.000167811885932
6.39068309954,0.695080162842,0.00167588216563,0.0104262606757,0.00541452111094,0.000685357482752,0.000177378664045
7.84511442564,0.69486126598,0.00154973700881,0.0101177370611,0.00461169136484,0.000243406647779,0.000150670472736
9.29954575174,0.695208642275,0.0012696068775,0.00889557385591,0.00428763731124,0.000172924255105,9.64329337925e-05
10.7539770778,0.695135393059,0.00123652630703,0.00890540245232,0.00388592892784,0.000183506267242,9.93877443013e-05
12.2084084039,0.694965672516,0.0010525626666,0.00768094089105,0.00366706854886,0.000173719402497,8.06389977267e-05
13.66283973,0.695145078239,0.000896633257977,0.00646263851454,0.00343828854943,0.00014204496926,6.697933731e-05
15.1172710561,0.695097172968,0.00068296324914,0.00617211110558,0.00297842975184,0.000133444614276,7.33557634405e-05
16.5717023822,0.695074158708,0.000818871165801,0.00504383325298,0.00231079077608,0.000110636782849,5.74805042465e-05
18.0261337083,0.69509833793,0.000677114885036,0.00540709746686,0.00275939604312,9.72158598517e-05,4.9602084115e-05
19.4805650344,0.695008783349,0.00070761280328,0.00392051187618,0.00234269415548,0.000113995607548,6.07359898109e-05
20.9349963605,0.695213232453,0.000619740649903,0.00399369138773,0.00159695053939,0.000112835401731,6.37024167061e-05
22.3894276867,0.695060043554,0.000640505968642,0.0040333678083,0.00204270132523,0.000102146275254,4.97498458821e-05
23.8438590128,0.695031717705,0.000614049724386,0.00353286562544,0.00195531447046,9.131235477e-05,4.58536346449e-05
25.2982903389,0.695023023377,0.000778806752206,0.00315082880554,0.00142903717941,9.03549566562e-05,4.81172904797e-05
26.752721665,0.69513375782,0.000614509451464,0.00331512972627,0.00163701568856,7.57286888146e-05,3.75899928225e-05
28.2071529911,0.695120931991,0.000570538596623,0.00275372533248,0.00143388896066,7.15623068082e-05,3.49214610375e-05
29.6615843172,0.695163889681,0.000569796024144,0.00267934997671,0.00138527892604,8.79814126284e-05,4.56228240971e-05
31.1160156433,0.69508535401,0.00063544144105,0.00284509193397,0.00136644160603,6.85341607099e-05,4.75962667423e-05
32.5704469694,0.69531732549,0.00069098954782,0.00231748876591,0.00127845681247,7.12644917022e-05,3.29761380182e-05
34.0248782955,0.695043000976,0.000637310186657,0.00259116379905,0.00112484035578,6.20838967707e-05,3.08588344455e-05
35.4793096216,0.694977463414,0.000531418426972,0.00231848637041,0.00121614683729,7.13675978408e-05,3.77977451462e-05
36.9337409477,0.695187917108,0.000701470352551,0.00274125758172,0.0011919015152,7.55576046914e-05,3.99876141691e-05
38.3881722738,0.695074277366,0.000514315732922,0.00220570553665,0.00131927077582,7.49036239074e-05,3.64174584845e-05
39.8426035999,0.695132492262,0.000605543869207,0.00229247573513,0.0012924584953,6.08487067834e-05,3.19487749046e-05
41.297034926,0.695215702549,0.000556902269201,0.00202856465222,0.00108811963447,5.9301433247e-05,2.69822745731e-05
42.7514662521,0.694995215779,0.000656427180326,0.00219301488268,0.00117519110138,7.22463303544e-05,3.62927720029e-05
44.2058975782,0.694924308595,0.000576136325115,0.00204121556682,0.000924847576305,6.42727805576e-05,3.74232663214e-05
45.6603289043,0.695280176191,0.000744732377954,0.00227704864385,0.00114320519656,7.65370463572e-05,3.93353068597e-05
47.1147602304,0.695140045193,0.000674305727168,0.00255565097126,0.00125632420678,7.34350365825e-05,4.29057967224e-05
48.5691915565,0.695115233724,0.000567172966057,0.002054422264,0.00104686395766,7.544468778e-05,3.79405138725e-05
50.0236228826,0.695209721292,0.000572161213327,0.00230598406033,0.00127684039437,8.3585496762e-05,3.74830379222e-05
51.4780542087,0.695114799073,0.000637294485916,0.00250678993313,0.00141308586952,7.5825716937e-05,4.46874202598e-05
52.9324855348,0.695022363214,0.000713534393711,0.00238816393855,0.00121412102461,7.33803846902e-05,3.79225699847e-05
54.3869168609,0.695064290556,0.000563813979444,0.00197047681779,0.00104790540622,7.32681786452e-05,3.66818340095e-05
55.841348187,0.694969166302,0.000585122261972,0.00284916588665,0.0016574696245,9.15924438493e-05,4.54436414192e-05
57.2957795131,0.695074204315,0.000562642873563,0.00292044146112,0.00133835430214,9.98347545436e-05,5.20492564735e-05
